,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Sokolo,14.73,-6.12,310.63,29,45,2.18,ML,1595526170
278,Panabá,21.28,-88.27,306.84,54,28,3.04,MX,1595526170
279,Jiayuguan City,39.82,98.3,295.75,40,97,1.94,CN,1595526170
280,Bahār,34.91,48.44,296.78,20,22,3.93,IR,1595526121
281,Lusambo,-4.97,23.45,300.18,32,59,0.98,CD,1595526170
282,Airai,-8.93,125.41,284.67,71,87,1.12,TL,1595526170
283,Pauini,-7.71,-66.98,309.83,29,42,0.67,BR,1595526171
284,Koungou,-12.73,45.2,298.15,65,35,6.7,YT,1595526171
285,Winnemucca,40.97,-117.74,296.15,40,1,2.27,US,1595526171
286,Talusan,7.43,122.81,298.98,85,100,3.21,PH,1595526171
287,Sawtell,-30.38,153.1,286.15,93,75,3.6,AU,1595526171
288,Banda Aceh,5.56,95.32,299.02,76,93,1.78,ID,1595526171
289,Forsytheganj,52.63,29.73,286.52,90,99,3.1,BY,1595526171
290,Boende,-0.22,20.87,299.7,58,92,0.69,CD,1595526171
291,Bereket,39.24,55.52,306.11,30,0,2.21,TM,1595526171
292,Florø,61.6,5.03,290.15,51,20,4.6,NO,1595526172
293,Derzhavīnsk,51.1,66.32,295.67,52,38,1.81,KZ,1595526172
294,Cascas,-7.48,-78.82,294.15,37,40,2.1,PE,1595526172
295,Kulhudhuffushi,6.62,73.07,300.79,81,100,6.72,MV,1595526172
296,Griffith,41.53,-87.42,300.37,57,40,1.5,US,1595525987
297,Batagay,67.63,134.63,290.88,55,50,1.5,RU,1595526172
298,Tawang Town,27.58,91.87,287.83,78,99,0.03,IN,1595526172
299,Cayenne,4.93,-52.33,304.15,58,70,5.1,GF,1595525890
300,Udachny,66.42,112.4,284.15,81,90,2,RU,1595526172
301,Kristinestad,62.27,21.38,284.97,89,100,7.63,FI,1595526172
302,Faanui,-16.48,-151.75,298.52,79,6,7.73,PF,1595526173
303,Adrar,20.5,-10.07,314.25,15,0,4.58,MR,1595526043
304,Norwich,52.63,1.3,297.04,35,98,6.2,GB,1595526173
305,Neiafu,-18.65,-173.98,296.15,94,40,2.1,TO,1595526173
306,Santarém,-2.44,-54.71,305.15,62,40,5.1,BR,1595526173
307,Tanete,-3.94,119.78,296.41,85,75,3.87,ID,1595526173
308,Houston,29.76,-95.36,307.04,62,75,5.7,US,1595525765
309,Montepuez,-13.13,39,294.74,46,65,3.91,MZ,1595526173
310,Thinadhoo,0.53,72.93,301.72,72,100,3.26,MV,1595526173
311,Lebu,-37.62,-73.65,282.7,61,54,1.54,CL,1595526173
312,Rochester,43.15,-77.62,300.37,78,75,4.6,US,1595525860
313,Sioux Lookout,50.1,-91.92,299.15,44,20,2.1,CA,1595526174
314,Lubango,-14.92,13.49,287.66,33,0,1.78,AO,1595526174
315,Bay Roberts,47.6,-53.26,298.15,53,80,5.03,CA,1595526174
316,Mitsamiouli,-11.38,43.28,297.31,65,59,5.22,KM,1595526174
317,Sirte,31.21,16.59,298.95,72,0,5.25,LY,1595526092
318,Wagga Wagga,-35.12,147.37,274.15,100,90,3.1,AU,1595526174
319,Iracoubo,5.48,-53.2,300.49,84,74,4.17,GF,1595526174
320,Umm Hājar,13.3,19.7,303.17,52,81,5.18,TD,1595526174
321,Choix,26.71,-108.32,306.3,46,40,1.99,MX,1595526174
322,Fukuechō,32.69,128.84,299.92,86,100,11.18,JP,1595526174
323,Portland,45.52,-122.68,291.48,72,90,3.1,US,1595526161
324,Guider,9.93,13.95,298.87,77,74,2.22,CM,1595526175
325,Okhotsk,59.38,143.3,285.11,88,75,1.71,RU,1595526175
326,Te Anau,-45.42,167.72,274.54,88,48,1.89,NZ,1595526175
327,Ust-Tsilma,65.44,52.15,294.94,58,97,2.09,RU,1595526175
328,Bella Union,-30.28,-57.6,290.43,86,100,3.32,UY,1595526175
329,Mwinilunga,-11.74,24.43,288.84,37,4,2.43,ZM,1595526175
330,Huntsville,34.73,-86.59,306.48,62,1,2.46,US,1595525934
331,Benjamín Hill,30.17,-111.1,301.48,65,100,0.45,MX,1595526175
332,Fortuna,40.6,-124.16,288.71,100,90,3.1,US,1595526175
333,Ozernovskiy,51.5,156.52,282.88,92,100,0.88,RU,1595526175
334,Bereda,43.27,-7.54,298.71,57,47,6.26,ES,1595526175
335,Turbat,26,63.04,303.53,62,30,5.37,PK,1595526176
336,Kodinsk,58.69,99.18,286.65,70,83,1.37,RU,1595526176
337,Tuatapere,-46.13,167.68,277.04,83,91,1.34,NZ,1595526176
338,Zhenlai,45.85,123.3,296.17,58,0,1.65,CN,1595526176
339,Munxar,36.03,14.23,305.15,31,0,4.1,MT,1595526176
340,Hobyo,5.35,48.53,298.59,70,86,13.2,SO,1595526176
341,Killybegs,54.63,-8.45,288.15,87,90,5.1,IE,1595526176
342,Port-Gentil,-0.72,8.78,297.59,78,99,6.14,GA,1595526176
343,Mayo,38.89,-76.51,305.93,62,1,2.6,US,1595526177
344,Fairbanks,64.84,-147.72,286.15,82,75,2.6,US,1595526132
345,Ulkan,57.24,107.32,286.15,78,35,0.76,RU,1595526177
346,Tūkrah,32.53,20.58,298.34,78,0,3.38,LY,1595526177
347,Geilo,60.53,8.21,289.26,37,75,2.24,NO,1595526177
348,Harper,4.38,-7.72,298.11,82,65,4.89,LR,1595526177
349,Humberto de Campos,-2.6,-43.46,304.56,46,31,2.12,BR,1595526177
350,Constitución,-35.33,-72.42,284.84,68,28,1.65,CL,1595525905
351,Shakawe,-18.37,21.85,288.16,34,0,2.36,BW,1595526178
352,Torbay,47.67,-52.73,298.71,47,75,8.2,CA,1595526178
353,North Bend,43.41,-124.22,290.93,93,90,4.6,US,1595526178
354,Paragominas,-2.97,-47.48,305.7,41,12,2.11,BR,1595526178
355,Belmonte,-15.86,-38.88,298.15,73,40,2.6,BR,1595526178
356,Pasni,25.26,63.47,302.18,82,0,7.61,PK,1595526178
357,Isangel,-19.55,169.27,295.68,84,86,6.23,VU,1595526178
358,Lompoc,34.64,-120.46,290.93,77,65,1.5,US,1595526178
359,Almirante,9.3,-82.4,301.58,73,100,2.62,PA,1595526178
360,Taoudenni,22.68,-3.98,318.96,9,16,3.86,ML,1595526178
361,Along,28.17,94.77,296.65,90,100,0.34,IN,1595526178
362,Calamar,10.25,-74.91,303.15,79,40,5.1,CO,1595526178
363,Margate,51.38,1.39,294.26,43,98,3.13,GB,1595526179
364,Korla,41.76,86.15,299.82,69,26,2.24,CN,1595526179
365,Storforshei,66.4,14.52,284.15,81,75,3.1,NO,1595526179
366,Labuhan,-6.88,112.21,297.99,83,92,3.11,ID,1595526179
367,West Fargo,46.88,-96.9,299.15,64,1,8.2,US,1595526179
368,Suntar,62.14,117.63,287.33,85,32,0.89,RU,1595526179
369,Zlobin,45.29,14.65,301.15,58,20,2.1,HR,1595526179
370,Plettenberg Bay,-34.05,23.37,291.44,49,0,1.76,ZA,1595526179
371,Lagoa,39.05,-27.98,294.18,69,0,1.22,PT,1595526179
372,Tlaxco,19.62,-98.12,293.15,60,40,1,MX,1595526179
373,Pizarro,4.95,-77.37,299.59,86,71,4.69,CO,1595526179
374,Oddur,4.12,43.89,298.09,54,92,9.56,SO,1595526180
375,Aginskoye,51.1,114.53,290.35,89,82,2.04,RU,1595526180
376,Mount Isa,-20.73,139.5,285.15,58,0,5.17,AU,1595526180
377,Brigham City,41.51,-112.02,301.48,41,1,2.1,US,1595526065
378,Tymovskoye,50.85,142.66,284.19,89,100,1.91,RU,1595526180
379,Manicoré,-5.81,-61.3,309.56,30,73,1.82,BR,1595526180
380,Lanxi,29.22,119.48,299.54,81,65,0.59,CN,1595526180
381,Oleksandrivka,48.96,32.23,289.88,65,82,0.59,UA,1595526180
382,Vestmannaeyjar,63.44,-20.27,284.15,87,75,3.1,IS,1595526180
383,Sibiti,-3.68,13.35,297.23,48,66,1.44,CG,1595526180
384,Zhezkazgan,47.8,67.71,299.51,27,65,3.06,KZ,1595526181
385,Limbang,4.75,115,298.15,94,75,2.1,MY,1595526181
386,Kununurra,-15.77,128.73,286.15,37,0,4.44,AU,1595526181
387,Valle Hermoso,25.67,-97.83,307.15,56,75,2.6,MX,1595526181
388,Shingū,33.73,135.98,297.49,82,100,0.89,JP,1595526181
389,Dandong,40.13,124.39,293.02,91,100,1.94,CN,1595526181
390,Burns Lake,54.23,-125.75,290.54,46,25,3.56,CA,1595526181
391,Ous,60.91,61.52,288.1,60,0,2.16,RU,1595526000
392,Hartlepool,54.69,-1.21,292.59,71,96,3.97,GB,1595526181
393,High Rock,26.62,-78.28,303.15,79,75,6.2,BS,1595526182
394,Carnarvon,-24.87,113.63,289.15,100,0,4.6,AU,1595526182
395,Manali,13.17,80.27,303.15,79,40,3.1,IN,1595526182
396,Ulcinj,41.93,19.22,305.15,27,20,3.6,ME,1595526182
397,Grindavik,63.84,-22.43,286.15,54,20,8.2,IS,1595526182
398,San Juan,-31.54,-68.54,279.58,58,96,3.82,AR,1595526154
399,Moree,-29.47,149.85,280.15,81,0,4.6,AU,1595526182
400,Egvekinot,66.32,-179.17,286.29,63,63,1.79,RU,1595526182
401,Omsukchan,62.53,155.8,288.5,53,91,0.62,RU,1595526182
402,Hofn,64.25,-15.21,286.15,66,75,3.6,IS,1595526182
403,Nhulunbuy,-12.23,136.77,295.15,94,40,1.5,AU,1595526182
404,Lorengau,-2.02,147.27,301.11,78,49,3.88,PG,1595526183
405,Shetpe,44.17,52.12,299.25,30,1,2.39,KZ,1595526183
406,Olyka,50.72,25.81,292.59,54,67,1.73,UA,1595526183
407,Puerto Baquerizo Moreno,-0.9,-89.6,296.15,78,75,9.3,EC,1595526183
408,Padang,-0.95,100.35,298.78,78,100,2.27,ID,1595526183
409,Sampit,-2.53,112.95,296.27,97,100,1.35,ID,1595526183
410,Puri,19.8,85.85,301.15,88,75,1.5,IN,1595526183
411,San Estanislao,10.4,-75.15,303.15,79,40,5.1,CO,1595526183
412,Puerto Nariño,-3.77,-70.38,304.15,70,94,1.5,CO,1595526184
413,Dafeng,23.45,108.59,299.51,80,93,2.09,CN,1595526184
414,Champerico,14.3,-91.92,304.15,66,20,4.1,GT,1595526184
415,Diamantina,-18.25,-43.6,294.75,39,0,4.07,BR,1595526184
416,Laas,46.62,10.7,293.15,49,40,3.1,IT,1595526184
417,Barra,-11.09,-43.14,302.13,37,61,2.24,BR,1595526184
418,Caravelas,-17.71,-39.25,297.58,66,29,3.33,BR,1595526184
419,Beidao,34.57,105.89,292.69,88,100,0.76,CN,1595526184
420,Eyl,7.98,49.82,299.16,69,92,11.5,SO,1595526184
421,Petropavlovsk-Kamchatskiy,53.05,158.65,284.15,100,40,0.8,RU,1595526185
422,Gladstone,-23.85,151.25,288.15,82,40,2.6,AU,1595526185
423,Ostrołęka,53.09,21.58,292.04,45,39,1.47,PL,1595526185
424,Walvis Bay,-22.96,14.51,300.15,18,0,2.1,NA,1595526185
425,Djibo,14.1,-1.63,309.67,31,78,2.72,BF,1595526185
426,Lethem,3.38,-59.8,303.84,62,51,1.26,GY,1595526185
427,Boyolangu,-8.12,111.89,295.94,87,99,3.34,ID,1595526185
428,Tezu,27.92,96.17,297.61,86,100,1.2,IN,1595526185
429,Kurumkan,54.3,110.3,288.71,83,100,1.24,RU,1595526185
430,San Carlos del Zulia,9,-71.91,305.08,57,80,2.23,VE,1595526185
431,Kashgar,39.45,75.98,303.71,78,81,1.7,CN,1595526185
432,Kiama,-34.68,150.87,283.71,91,82,0.45,AU,1595526186
433,João Câmara,-5.54,-35.82,302.15,58,40,6.2,BR,1595526186
434,Quelimane,-17.88,36.89,291.74,86,59,2.54,MZ,1595526186
435,San Jerónimo,-11.95,-75.28,290.19,31,21,1.31,PE,1595526186
436,Anking,30.51,117.05,298.27,84,100,2.9,CN,1595526186
437,Tabou,4.42,-7.35,297.85,84,51,4.89,CI,1595526186
438,Lüderitz,-26.65,15.16,297.15,29,0,1,NA,1595526186
439,Syra,37.44,24.94,302.04,39,0,8.7,GR,1595526186
440,Usogorsk,63.41,48.69,290.52,82,98,2.81,RU,1595526186
441,Schramberg,48.22,8.39,292.59,54,37,1.45,DE,1595526187
442,Wenatchee,47.42,-120.31,298.15,36,1,8.7,US,1595526187
443,Tomatlán,19.93,-105.25,305.88,53,86,2.8,MX,1595526187
444,Seydi,39.48,62.91,304.36,25,53,10.77,TM,1595526187
445,Vardø,70.37,31.11,286.15,87,75,6.7,NO,1595526187
446,Saldanha,-33.01,17.94,293.15,56,0,1.5,ZA,1595526187
447,Olinda,-8.01,-34.86,302.15,62,40,6.7,BR,1595526187
448,Maibong,25.3,93.17,296.89,90,100,1.66,IN,1595526187
449,Birjand,32.87,59.22,302.15,12,0,3.1,IR,1595526187
450,Meulaboh,4.14,96.13,297.17,91,100,1.9,ID,1595526188
451,Dingle,11,122.67,298.18,85,90,1.46,PH,1595526188
452,Jaqué,7.52,-78.17,300.12,83,82,4.32,PA,1595526188
453,Blackwater,-23.58,148.88,284.51,91,10,2.56,AU,1595526188
454,Mahajanga,-15.72,46.32,298.15,44,34,5.1,MG,1595526188
455,Udarnyy,54.34,42.86,286.69,90,4,2.81,RU,1595526188
456,Gizo Government Station,-8.1,156.84,300.94,74,62,3.36,SB,1595526188
457,Venado Tuerto,-33.75,-61.97,283.15,74,100,9.39,AR,1595526188
458,Khanbari,27.37,87.2,296.6,76,99,1.01,NP,1595526188
459,Verkh-Usugli,52.7,115.17,288.07,96,83,1.14,RU,1595526188
460,Neuquén,-38.95,-68.06,278.15,75,75,2.1,AR,1595526178
461,Dunedin,-45.87,170.5,278.71,72,36,0.89,NZ,1595526189
462,Sawākin,19.11,37.33,306.28,53,0,5.38,SD,1595526189
463,Menongue,-14.66,17.69,287.87,33,0,2.1,AO,1595526189
464,Dubti,11.74,41.09,311.5,23,15,5,ET,1595526189
465,Oloron-Sainte-Marie,43.19,-0.61,298.15,61,90,5.1,FR,1595526189
466,Kerema,-7.96,145.78,297.84,88,95,3.7,PG,1595526189
467,Rawson,-43.3,-65.1,277.37,80,100,5.31,AR,1595526189
468,Billings Metropolitan Area,45.78,-108.5,300.37,36,90,8.7,US,1595526036
469,Basco,20.45,121.97,302.55,79,27,4.45,PH,1595526190
470,Saurimo,-9.66,20.39,294.18,24,0,2.65,AO,1595526190
471,Junín,-34.58,-60.94,282.59,93,100,4.47,AR,1595526190
472,Finnsnes,69.23,17.98,283.15,87,75,6.2,NO,1595526075
473,Jumla,29.27,82.18,288.55,70,34,0.85,NP,1595525943
474,Brae,60.4,-1.35,287.15,87,75,5.7,GB,1595526190
475,Jinchang,38.5,102.17,293.11,61,93,2.97,CN,1595526190
476,San Policarpo,12.18,125.51,301.54,76,88,2.07,PH,1595526190
477,Ambulu,-8.35,113.61,295.27,85,70,2.52,ID,1595526190
478,Abū Zabad,12.35,29.25,302.16,47,82,3.29,SD,1595526190
479,Newport,51.59,-3,292.04,93,100,0.89,GB,1595526191
480,Contamana,-7.33,-75.02,307.67,40,24,1.6,PE,1595526191
481,Vaijāpur,19.92,74.73,296.79,93,100,4.66,IN,1595526191
482,Carauari,-4.88,-66.9,302.14,72,89,0.83,BR,1595525936
483,Erenhot,43.65,111.98,301.82,32,97,5.87,CN,1595526191
484,Manuk Mangkaw,4.8,119.85,301.81,72,96,3.61,PH,1595526191
485,Srednekolymsk,67.45,153.68,294.07,49,99,2.25,RU,1595526191
486,Ust-Kuyga,70.02,135.6,292.3,67,40,0.92,RU,1595526191
487,Guilin,25.28,110.29,299.15,83,85,0.16,CN,1595526191
488,Matara,5.95,80.54,299.02,86,98,2.77,LK,1595526191
489,Porkhov,57.77,29.56,289.15,59,71,3,RU,1595526191
490,Muros,42.78,-9.06,298.71,64,20,6.7,ES,1595526192
491,Lubbock,33.6,-101.83,302.15,51,20,2.1,US,1595525992
492,Codrington,-38.27,141.97,276.83,88,91,3.62,AU,1595526192
493,San Quintín,30.48,-115.95,293.97,63,47,5.63,MX,1595526192
494,Ţahţā,26.77,31.5,305.06,18,1,4,EG,1595526192
495,Ajdabiya,30.76,20.23,298.08,78,0,7.59,LY,1595526192
496,Maceió,-9.67,-35.74,300.15,65,75,5.1,BR,1595526192
497,Azua,18.45,-70.73,306.15,59,40,6.7,DO,1595526192
498,Muroto-misakicho,33.28,134.15,299.33,85,100,2.01,JP,1595526192
499,Kālna,23.22,88.37,301.15,94,75,3.49,IN,1595526192
500,Copiapó,-27.37,-70.33,288.15,38,3,4.6,CL,1595526193
501,Caborca,30.58,-111.1,301.48,66,97,1.34,MX,1595526193
502,Bachaquero,9.97,-71.15,304.8,57,100,1.76,VE,1595526193
503,Sainte-Rose,16.33,-61.7,304.15,62,40,6.2,GP,1595526193
504,Urusha,54.05,122.9,290.1,98,99,2.43,RU,1595526193
505,Sept-Îles,50.2,-66.38,294.26,72,40,4.1,CA,1595526029
506,Cootamundra,-34.65,148.03,273.15,96,0,1.99,AU,1595526193
507,Pisco,-13.7,-76.22,293.71,72,5,2.6,PE,1595526193
508,Bethel,41.37,-73.41,302.59,69,1,5.1,US,1595525900
509,Nueve de Julio,-35.44,-60.88,283.15,94,100,3.58,AR,1595526193
510,Santa Vitória do Palmar,-33.52,-53.37,294.18,88,100,2.45,BR,1595526194
511,Sakakah,29.97,40.21,313.15,8,20,3.1,SA,1595526194
512,Nuevo Progreso,23.17,-97.95,308.15,43,19,1.79,MX,1595526194
513,Ilo,-17.64,-71.34,291.15,82,90,3.1,PE,1595526194
514,Aswān,24.09,32.91,308.61,13,0,5.55,EG,1595526194
515,Ixtapa,20.7,-105.2,304.82,74,75,4.1,MX,1595526157
516,Niquero,20.04,-77.58,304.25,60,46,2.26,CU,1595526194
517,Puerto Carreño,6.19,-67.49,302.62,71,73,3.75,CO,1595526194
518,Gimbi,9.17,35.83,286.2,100,100,1.03,ET,1595526194
519,Vila Franca do Campo,37.72,-25.43,295.15,64,40,3.1,PT,1595526195
520,Kidal,18.44,1.41,312.1,19,39,1.12,ML,1595526195
521,Aykino,62.22,49.99,289.17,93,100,1.86,RU,1595526195
522,Narsaq,60.92,-46.05,291.15,75,75,8.7,GL,1595526195
523,Najrān,17.49,44.13,309.15,22,40,3.1,SA,1595526195
524,Kalabo,-14.97,22.68,290.11,30,5,2.34,ZM,1595526195
525,Slave Lake,55.28,-114.77,288.15,93,90,3.1,CA,1595526195
526,Binzhou,37.37,118.02,295.37,81,10,1.15,CN,1595526195
527,Cologne,50.93,6.95,300.37,31,95,2.6,DE,1595526103
528,Kapoeta,4.77,33.59,296.75,67,12,2.52,SS,1595526195
529,San Patricio,19.22,-104.7,305.15,75,75,4.1,MX,1595526195
530,Woodstock,43.13,-80.75,299.82,69,75,4.6,CA,1595526052
531,Lerwick,60.15,-1.15,287.15,87,75,5.7,GB,1595526196
532,Eyrarbakki,63.86,-21.15,287.15,50,20,7.2,IS,1595526196
533,Rock Springs,41.59,-109.2,292.15,55,1,2.6,US,1595526196
534,Bhīnmāl,25,72.25,304.99,57,22,6.46,IN,1595526196
535,Grants Pass,42.44,-123.33,297.04,28,1,1.28,US,1595526196
536,Mahabalipuram,12.63,80.17,303.15,79,40,3.1,IN,1595526196
537,Tungor,53.38,142.96,278.53,97,7,0.2,RU,1595526196
538,Dombarovskiy,50.76,59.54,291.71,69,98,7.84,RU,1595526196
539,City of San Pedro,14.35,121.02,304.26,83,84,3.1,PH,1595526196
540,Salalah,17.02,54.09,300.15,88,40,3.1,OM,1595526190
541,Nizhniy Baskunchak,48.22,46.83,298.4,38,6,4.64,RU,1595526197
542,Manaus,-3.1,-60.02,305.15,62,40,1.5,BR,1595525878
543,Camopi,3.17,-52.32,301.43,84,61,1.72,GF,1595526197
544,San Rafael,-34.62,-68.33,279.14,58,19,2.08,AR,1595526197
545,Imbituba,-28.24,-48.67,300.15,44,67,5.7,BR,1595526197
546,Kankan,10.39,-9.31,300.97,79,71,1.08,GN,1595526197
547,Yulara,-25.24,130.99,279.15,60,0,1.5,AU,1595526197
548,Nioro,13.35,-15.75,301.58,71,100,4.21,GM,1595526197
549,Kailua,21.4,-157.74,299.26,78,40,5.1,US,1595525950
550,Toamasina,-18.17,49.38,293.15,82,75,4.1,MG,1595526197
551,Krasnyye Barrikady,46.2,47.85,303.15,25,79,1,RU,1595526197
552,Belyy Yar,53.6,91.39,288.15,87,26,2,RU,1595526198
553,Miandrivazo,-19.52,45.47,295.22,35,11,7.01,MG,1595526198
